time_ms,soil,light,temp_c
900679,1505,1819,23.30
1800719,1467,1766,23.30
2700759,1535,1226,23.40
3600855,1554,1985,23.40
4500895,1459,2013,23.40
5400935,1567,2032,23.30
6300975,1491,2058,23.30
7201016,1488,992,23.10
8101056,1499,1006,23.00
9001096,1581,927,23.00
9901192,1444,785,23.00
10801232,1523,910,23.00
11701272,1499,986,23.00
12601312,1535,2465,23.00
13501352,1535,2481,23.00
14401392,1532,2477,23.00
15301432,1509,2287,23.00
16201473,1535,2375,23.00
17101568,1569,2288,22.90
18001608,1575,2366,22.90
18901648,1535,2381,22.90
19801688,1509,2282,22.80
20701728,1519,2480,22.80
21601768,1522,2325,22.70
22501808,1533,2286,22.70
23401906,1483,2475,22.50
24301946,1475,2384,22.00
25201986,1589,2299,22.00
26102027,1535,2444,22.10
27002067,1503,2269,22.10
27902107,1520,2288,22.10
28802148,1557,2587,22.10
29702244,1522,2454,22.10
30602284,1520,2462,22.10
31502324,1562,2462,22.10
32402364,1434,2391,22.10
33302404,1510,2286,22.10
34202444,1568,2414,22.10
35102485,1535,2401,22.10
36002581,1622,2302,22.10
36902621,1571,2325,22.10
37802661,1504,2320,22.10
38702701,1566,2425,22.10
39602741,1535,2401,22.10
40502781,1491,2349,22.10
41402821,1535,2559,22.10
42302917,1522,2688,22.10
43202957,1515,3472,22.10
44102998,1600,4095,22.10
45003038,1473,4095,22.10
45903078,1557,4095,22.40
46803118,1589,4095,22.40
47703158,1499,4095,22.50
48603255,1571,4095,22.50
49503295,1533,4095,22.50
50403335,1485,4095,22.60
51303375,1575,4095,22.70
52203415,1558,4095,22.70
53103456,1535,4095,22.80
54003496,1495,4095,22.80
54903592,1512,4095,22.80
55803632,1535,4095,22.80
56703672,1582,4095,22.90
57603712,1474,4095,22.40
58503752,1533,4095,22.20
59403792,1610,4095,22.20
60303832,1520,4095,21.80
61203872,1515,4095,20.10
62103969,1523,4095,19.90
63004009,1622,4095,19.90
63904049,1559,4095,19.80
64804089,1535,4095,20.00
65704128,1520,4095,20.10
66604168,1566,4095,20.30
67504209,1605,4095,19.80
68404305,1582,4095,20.00
69304344,1513,4095,20.00
70204383,1600,4095,20.00
71104423,1586,4095,20.20
72004463,1589,4095,20.00
72904502,1515,4095,20.00
73804541,1582,4095,19.80
74704637,1601,4095,19.90
75604677,1577,4095,20.30
76504717,1535,3512,19.70
77404757,1598,2910,19.70
78304797,1535,2631,19.60
79204837,1609,2032,19.50
80104878,1581,1344,19.50
81004974,1593,966,19.50
81905014,1609,979,19.50
82805054,1527,767,19.50
83705094,1572,971,19.40
84605134,1591,811,19.50
85505174,1667,826,19.60
86405214,1638,784,19.50
87305311,1571,934,19.50
88205351,1610,827,19.50
89105392,1623,850,19.50
90005432,1630,745,19.50
90905472,1600,955,19.50
91805512,1621,796,19.60
92705552,1630,2457,20.40
93605648,1569,2474,20.50
94505688,1617,2512,20.70
95405728,1648,2437,20.90
96305768,1565,825,21.00
97205808,1621,813,21.00
98105848,1639,849,21.00
99005889,1535,1008,21.00
99905983,1616,1124,21.00
100806023,1653,854,20.90
101706063,1584,943,21.00
102606103,1569,913,20.90
103506143,1601,784,21.00
104406183,1644,803,20.90
105306223,1658,775,20.90
106206263,1699,976,20.90
107106360,1680,815,20.90
108006401,1710,775,20.90
108906441,1631,1019,20.90
109806481,1634,999,20.90
110706521,1648,816,20.90
111606561,1648,880,20.90
112506601,1647,802,20.90
113406696,1665,831,20.80
114306736,1648,816,20.90
115206776,1669,956,20.80
116106816,1650,827,20.90
117006857,1681,1166,20.80
117906897,1648,921,20.80
118806938,1651,816,20.80
119707031,1603,973,20.80
120607071,1600,851,20.80
121507111,1744,960,20.70
122407151,1701,896,20.70
123307191,1648,878,20.80
124207231,1649,938,20.80
125107271,1634,894,20.70
126007365,1637,878,20.80
126907406,1683,1249,20.80
127807446,1622,2096,20.70
128707486,1641,2620,20.80
129607526,1678,4095,20.80
130507566,1612,4095,20.80
131407606,1600,3920,20.80
132307702,1618,4095,20.90
133207742,1535,4095,20.80
134107783,1659,4095,21.10
135007824,1721,4095,21.20
135907864,1651,4095,21.00
136807904,1627,4095,21.10
137707944,1637,4095,21.20
138608039,1675,4095,21.20
139508079,1625,4095,21.30
140408119,1535,4095,21.40
141308159,1637,4095,21.50
142208199,1658,4095,21.60
143108240,1619,4095,21.70
144008281,1671,4095,21.70
144908379,1627,4095,21.80
145808419,1647,4095,21.90
146708459,1643,4095,22.00
147608499,1616,4095,22.00
148508539,1616,4095,22.00
149408579,1612,4095,22.00
150308619,1678,4095,22.00
151208660,1631,4095,22.00
152108755,1648,4095,22.00
153008796,1597,4095,22.10
153908836,1597,4095,22.20
154808876,1657,4095,22.30
155708916,1648,4095,22.40
156608956,1601,4095,22.00
157508996,1575,4095,22.10
158409092,1595,4095,22.10
159309132,1584,4095,22.20
160209173,1707,4095,22.00
161109214,1535,4095,22.00
